step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50788,0,0,15,0,15,0,10,0,40,0.18,0.2214,4.76,0.6,1.82,40,34,2,4,0.85
1,0,8,34,154,0,0,8,0,35,0,0,0,0,50822,0,0,15,0,15,0,10,0,40,,,,,,,,,,
2,7,9,26,106,7,2,9,2,28,2,0,0,0,50848,0,0,15,1,15,1,10,0,42,,,,,,,,,,
3,16,9,36,171,9,1,9,2,40,2,0,0,0,50884,0,0,15,1,15,2,10,0,43,,,,,,,,,,
4,21,9,37,171,5,2,9,1,38,2,0,0,0,50921,0,0,15,1,15,3,10,1,45,,,,,,,,,,
5,25,12,45,207,4,1,12,1,51,1,0,0,0,50966,0,0,15,1,15,4,10,1,46,0.18,0.2348,4.84,0.6,1.82,46,39,1,6,0.8478
6,25,8,32,149,0,0,8,0,37,0,0,0,0,50998,0,0,15,1,15,4,10,1,46,,,,,,,,,,
7,25,11,36,144,0,0,11,0,41,0,0,0,0,51034,0,0,15,1,15,4,10,1,46,,,,,,,,,,
8,34,10,34,158,9,2,10,2,41,3,0,0,0,51068,0,0,15,1,15,6,10,1,48,,,,,,,,,,
9,39,7,28,140,5,1,7,1,35,1,0,0,0,51096,0,0,15,1,15,7,10,1,49,,,,,,,,,,
10,39,7,23,107,0,0,7,0,30,0,0,0,0,51119,0,0,15,1,15,7,10,1,49,0.18,0.2214,4.98,0.6,1.84,49,40,2,7,0.8163
