step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts
0,0,0,0,0,0,0,0,0,0,50787,0,0,14,0,15,0,10,0,39,0.16,0.1741,4.6,0.62,1.82
1,7,9,39,183,7,2,0,0,0,50826,0,0,14,1,15,1,10,0,41,,,,,
2,8,9,26,108,1,1,0,0,0,50852,0,0,14,2,15,1,10,0,42,,,,,
3,8,9,37,176,0,0,0,0,0,50889,0,0,14,2,15,1,10,0,42,,,,,
4,16,9,36,166,8,2,0,0,0,50925,0,0,14,3,15,1,10,1,44,,,,,
5,19,12,43,193,3,1,0,0,0,50968,0,0,14,4,15,1,10,1,45,0.16,0.1741,4.74,0.62,1.82
6,23,7,24,100,4,1,0,0,0,50992,0,0,14,5,15,1,10,1,46,,,,,
7,31,11,35,143,8,5,0,0,0,51027,0,0,14,6,15,5,10,1,51,,,,,
8,44,10,35,165,13,5,0,0,0,51062,0,0,14,7,15,9,10,1,56,,,,,
9,49,7,34,170,5,1,0,0,0,51096,0,0,14,8,15,9,10,1,57,,,,,
10,54,8,32,156,5,2,0,0,0,51128,0,0,14,8,15,11,10,1,59,0.16,0.1741,4.84,0.62,1.82
