step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50815,0,0,15,0,15,0,10,0,40,0,0,0,0,0.14,0.2034,4.72,0.6,1.82,40,34,0,6,0.85,
1,7,9,41,193,7,2,9,2,40,2,0,0,0,50856,0,0,15,1,15,1,10,0,42,0,0,0,0,,,,,,,,,,,
2,15,9,32,139,8,1,9,2,30,2,0,0,0,50888,0,0,15,1,15,2,10,0,43,0,0,0,0,,,,,,,,,,,
3,25,9,38,180,10,1,9,2,39,2,0,0,0,50926,0,0,15,2,15,2,10,0,44,0,0,0,0,,,,,,,,,,,
4,31,9,39,182,6,0,9,1,39,1,0,0,0,50965,0,0,15,2,15,2,10,0,44,0,0,0,0,,,,,,,,,,,
5,36,12,45,203,5,0,12,1,48,1,0,0,0,51010,0,0,15,2,15,2,10,0,44,0,0,0,0,0.14,0.2034,4.82,0.6,1.82,44,38,0,6,0.8636,
6,41,8,34,155,5,1,8,1,35,1,0,0,0,51044,0,0,15,3,15,2,10,0,45,0,0,0,0,,,,,,,,,,,
7,49,11,40,167,8,2,11,2,40,2,0,0,0,51084,0,0,15,4,15,3,10,0,47,0,0,0,0,,,,,,,,,,,
8,68,10,38,179,19,4,10,4,41,5,0,0,0,51122,0,0,15,6,15,4,10,1,51,0,0,0,0,,,,,,,,,,,
9,82,7,35,175,14,3,7,3,35,4,0,0,0,51157,0,0,15,7,15,6,10,1,54,0,0,0,0,,,,,,,,,,,
10,82,7,26,122,0,0,7,0,30,0,0,0,0,51183,0,0,15,7,15,6,10,1,54,0,0,0,0,0.14,0.2034,4.82,0.6,1.82,54,48,0,6,0.8889,0.8832
