step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50788,0,0,15,0,15,0,9,0,39,0,0,0,0,0.16,0.2029,4.68,0.6,1.82,39,33,0,6,0.8462,
1,17,9,39,179,17,8,9,4,40,4,0,0,0,50827,0,0,15,5,15,3,9,0,47,0,0,0,0,,,,,,,,,,,
2,22,9,26,106,5,5,9,1,28,1,0,0,0,50853,0,0,15,10,15,3,9,0,52,0,0,0,0,,,,,,,,,,,
3,32,9,37,176,10,1,9,2,40,2,0,0,0,50890,0,0,15,10,15,4,9,0,53,0,0,0,0,,,,,,,,,,,
4,40,9,39,179,8,2,9,2,37,4,0,0,0,50929,0,0,15,10,15,6,9,0,55,0,0,0,0,,,,,,,,,,,
5,45,12,42,188,5,1,12,2,49,2,0,0,0,50971,0,0,15,10,15,7,9,0,56,0,0,0,0,0.14,0.1829,4.84,0.6,1.82,56,40,0,16,0.7143,
6,49,8,33,152,4,1,8,1,36,1,0,0,0,51004,0,0,15,11,15,7,9,0,57,0,0,0,0,,,,,,,,,,,
7,51,11,37,164,2,1,11,1,44,1,0,0,0,51041,0,0,15,12,15,7,9,0,58,0,0,0,0,,,,,,,,,,,
8,62,10,32,147,11,2,10,3,39,6,0,0,0,51073,0,0,15,13,15,8,9,0,60,0,0,0,0,,,,,,,,,,,
9,62,7,24,120,0,0,7,0,35,0,0,0,0,51097,0,0,15,13,15,8,9,0,60,0,0,0,0,,,,,,,,,,,
10,62,7,22,106,0,0,7,0,31,0,0,0,0,51119,0,0,15,13,15,8,9,0,60,0,0,0,0,0.12,0.1729,4.9,0.6,1.84,60,40,0,20,0.6667,0.891
