step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50819,0,0,15,0,15,0,9,0,39,0,0,0,0,0.14,0.1995,4.72,0.6,1.82,39,36,0,3,0.9231,
1,8,9,41,193,8,2,9,2,41,2,25,2,5,50854,0,6,15,0,15,2,9,0,41,0,6,0,0,,,,,,,,,,,
2,13,9,28,113,5,1,9,1,28,1,22,2,3,50877,0,11,15,0,15,3,9,0,42,0,11,0,0,,,,,,,,,,,
3,28,8,37,179,15,3,8,3,38,3,25,0,0,50914,0,11,15,2,15,4,9,0,45,0,11,0,0,,,,,,,,,,,
4,50,9,37,175,22,9,9,5,39,6,25,2,27,50938,0,24,15,8,15,6,9,1,54,2,22,0,0,,,,,,,,,,,
5,63,12,41,183,13,4,12,3,48,5,25,2,3,50975,0,28,15,9,15,9,9,1,58,2,26,0,0,0.14,0.1748,4.84,0.6,1.82,58,49,0,9,0.8448,
6,68,7,28,128,5,1,7,1,31,1,25,4,5,50996,0,35,15,10,15,9,9,1,59,4,31,0,0,,,,,,,,,,,
7,74,11,33,122,6,2,11,2,36,2,25,2,19,51008,0,56,15,11,15,10,9,1,61,4,52,0,0,,,,,,,,,,,
8,86,10,29,129,12,7,10,4,38,5,25,3,8,51032,0,61,15,16,15,11,9,2,68,7,54,0,0,,,,,,,,,,,
9,86,7,31,155,0,0,7,0,35,0,25,0,0,51063,0,61,15,16,15,11,9,2,68,7,54,0,0,,,,,,,,,,,
10,94,7,26,122,8,5,7,2,30,2,25,1,5,51083,0,67,15,21,15,11,9,2,73,7,60,0,0,0.14,0.1748,4.92,0.6,1.84,60,42,0,18,0.7,0.8546
