step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50787,0,0,15,0,15,0,9,0,39,0,0,0,0,0.02,0.0493,1.32,0.56,2.26,39,32,0,7,0.8205,
1,5,9,36,162,5,1,9,1,36,1,0,0,0,50823,0,0,15,0,15,1,9,0,40,0,0,0,0,,,,,,,,,,,
2,10,10,35,157,5,2,10,1,39,2,0,0,0,50858,0,0,15,2,15,1,9,0,42,0,0,0,0,,,,,,,,,,,
3,20,8,34,162,10,4,8,2,35,3,0,0,0,50892,0,0,15,4,15,3,9,0,46,0,0,0,0,,,,,,,,,,,
4,20,8,25,111,0,0,8,0,30,0,0,0,0,50917,0,0,15,4,15,3,9,0,46,0,0,0,0,,,,,,,,,,,
5,36,10,44,210,16,2,10,3,47,3,0,0,0,50961,0,0,15,4,15,5,9,0,48,0,0,0,0,0.02,0.0493,1.34,0.58,2.28,48,36,0,12,0.75,
6,47,8,36,178,11,1,8,2,39,3,0,0,0,50997,0,0,15,4,15,6,9,0,49,0,0,0,0,,,,,,,,,,,
7,52,7,27,127,5,1,7,1,30,1,0,0,0,51024,0,0,15,4,15,6,9,1,50,0,0,0,0,,,,,,,,,,,
8,52,8,29,131,0,0,8,0,32,0,0,0,0,51053,0,0,15,4,15,6,9,1,50,0,0,0,0,,,,,,,,,,,
9,52,9,33,154,0,0,9,0,37,0,0,0,0,51086,0,0,15,4,15,6,9,1,50,0,0,0,0,,,,,,,,,,,
10,56,9,26,104,4,1,9,1,31,1,0,0,0,51112,0,0,15,4,15,7,9,1,51,0,0,0,0,0.02,0.0493,1.34,0.58,2.3,51,36,0,15,0.7059,0.895
