triplet_id,unit_id,dataset,subject,predicate,object,human_label
2a6e3b13-943b-53e4-9c70-57f0a4194772,hotpot_5ab916e155429919ba4e23a4_Chiwetel Ejiofor,hotpotqa,Chiwetel Ejiofor,born_in,1977,
af3c45c4-0c8e-5bd5-b4cc-524912d3706e,hotpot_5a7a77425542995eb53be83e_Nick Carter (musician),hotpotqa,Nick Carter,released,All American,
cbc18c88-8e65-5a9f-81bd-e9af96b49880,hotpot_5a8ee3a755429917b4a5be02_College Humor (film),hotpotqa,College Humor,released_in,1933,
53b4ea93-1225-5db1-a265-d21f36cbac47,hotpot_5adf3e835542993a75d26442_Fenris (comics),hotpotqa,Andrea von Strucker,is_half_sibling_of,Werner von Strucker,
045d75ce-e87e-5ada-8fe6-483048bcb20f,hotpot_5adef1b35542993a75d263af_Salma Hayek,hotpotqa,Salma Hayek,nationality,Mexican,
d3ff3943-2d93-591a-aa4d-6aab16a0dd36,hotpot_5a8843cd5542994846c1ce75_Mwabvi Wildlife Reserve,hotpotqa,Mwabvi Wildlife Reserve,least_accessible,Malawi,
bddae936-d6dd-5e18-851d-f432dfafd66c,hotpot_5ae129115542990adbacf722_Wild Mountain Thyme,hotpotqa,Francis McPeake,is_a_member_of,The McPeake family,
96560dfb-9cda-5e0e-8202-1c179def9df0,hotpot_5ae1443855429920d5234362_Alexander Nikolayev,hotpotqa,Alexander Nikolayev,born_in,1918,
3ce80c65-7714-533b-ab74-0ce363a49fc1,fever_66262,fever,Aarhus,located_northwest_of,Copenhagen,
35615a83-6a3d-5f14-a0cc-0256ca26d165,hotpot_5ab31864554299233954ff06_Apratim Majumdar,hotpotqa,Apratim Majumdar,from,Kolkata,
43f3e498-64c4-589a-80c2-9e6c937655b9,hotpot_5a7ce0ce554299452d57ba92_Assassination of James A. Garfield,hotpotqa,James A. Garfield,preceded,John F. Kennedy,
1f26b688-922b-5374-a000-0d22368df4cc,hotpot_5a7a77425542995eb53be83e_Brady Seals,hotpotqa,Brady Seals,member_of,Little Texas,
7e71b087-ced4-5c37-a2f1-bd67f1cfc992,hotpot_5a7ce0ce554299452d57ba92_Assassination of James A. Garfield,hotpotqa,James A. Garfield,shot_by,Charles J. Guiteau,
2800585b-d38c-5206-894c-fe0299eed22e,hotpot_5adf3e835542993a75d26442_Nick Fury: Agent of S.H.I.E.L.D. (film),hotpotqa,David Hasselhoff,plays,Nick Fury,
56832528-5aef-5a26-9fdc-10c5b8eb082b,hotpot_5a86769c5542994775f60776_Kurt Vonnegut,hotpotqa,Kurt Vonnegut Jr.,published,14 novels,
b24f4c71-e92c-593a-b134-bb5c831f540f,hotpot_5a7557d75542992d0ec05f68_Laurie Metcalf,hotpotqa,Laurie Metcalf,played_role,Dr. Jenna James,
4d9ee269-24a8-50bc-8a42-63f26ea8dd65,hotpot_5a7a77425542995eb53be83e_Brady Seals,hotpotqa,Brady Seals,cousin_of,Johnny Duncan,
ba328bfe-2f1a-58a1-a588-0b94e3bea1c8,fever_66262,fever,Aarhus,located_south_of,London,
627e1959-e661-519c-abc8-ceaa7b054b95,hotpot_5ae143ed55429920d5234360_Sergei Aleksandrovich Tokarev,hotpotqa,Sergei Aleksandrovich Tokarev,spoken_language,Russian,
d952b24d-32c3-5a38-bd0f-64725acfe554,hotpot_5abc19705542993a06baf86e_Halina Reijn,hotpotqa,Halina Reijn,is,Dutch actress and writer,
d609b5ba-789f-590a-8343-09eec0994b24,hotpot_5ac3e0f7554299194317388b_American Beauty (1999 film),hotpotqa,Annette Bening,co-stars_as,Carolyn,
956f8662-292f-5a9a-bb2e-49a1bd663714,hotpot_5ac19f405542991316484b5b_Berger Blanc Suisse,hotpotqa,Berger Blanc Suisse,has_same_origins_as,White Shepherd,
d6b781f7-86ab-59eb-b9db-d314bc52738a,fever_49997,fever,Rupert Murdoch,has_been,criticized,
e4d12d6b-ab66-5fe6-ab08-d572edf41013,hotpot_5ab97d0a5542996be202051e_Benedict Arnold,hotpotqa,Benedict Arnold,was_commissioned_into,British Army as a brigadier general,
b613dd9e-e6ef-5de5-ab6a-288088f2fcda,fever_183605,fever,Finding Dory,written_by,someone who is based at Disney,
e661a4da-e107-51d7-bdb7-94236769da03,hotpot_5adef1b35542993a75d263af_Salma Hayek,hotpotqa,Salma Hayek,starred_in,Wild Wild West,
b769e68e-597c-5c2d-90c9-70f63630cdf3,hotpot_5a8843cd5542994846c1ce75_Mwabvi Wildlife Reserve,hotpotqa,Mwabvi Wildlife Reserve,is_smallest_national_park_of,Malawi,
35eb98f2-7663-5153-aafa-1c085a0d5d9b,hotpot_5ab90d8955429916710eb0f1_New Orleans Pelicans,hotpotqa,New Orleans Pelicans,member_of,Western Conference Southwest Division,
1f73b94b-7088-520a-8e88-517ba6c6f499,hotpot_5ac3e0f7554299194317388b_American Beauty (1999 film),hotpotqa,American Beauty,directed_by,Sam Mendes,
a145a22a-c60c-5235-bb5b-0620adf7f67b,hotpot_5ab6aa4c55429953192ad359_Stuart Roosa,hotpotqa,Stuart Roosa,conducted_experiments_from,orbit in the Command Module Kitty Hawk,
7182f412-1cb7-5edc-a647-c772e1dffba2,hotpot_5a86769c5542994775f60776_Armageddon in Retrospect,hotpotqa,Armageddon in Retrospect,is_the_first,posthumous collection,
a41d6a37-3b83-5a80-9088-dfc8195eab82,fever_21617,fever,2016 Tour de France,had_total,198 musicians,
5ad778e8-952c-55e0-92b6-7d1b32424f76,hotpot_5adcbb815542994ed6169bde_Beer Wars,hotpotqa,Beer Wars,covers,use of advertising and lobbyists to control beer market,
5df174f3-2444-5eb2-a936-aae2d46966ed,fever_149172,fever,CONCACAF Champions League,organized_for,football clubs in South America,
8a5fe518-fe86-5bbe-87c0-63b32c9795da,hotpot_5ae129115542990adbacf722_A Pair of Brown Eyes,hotpotqa,A Pair of Brown Eyes,released_on,18 March 1985,
262bcb48-7621-596a-9fb0-7d94b5c9f422,hotpot_5ae361605542994393b9e69b_Naval Submarine Base New London,hotpotqa,Naval Submarine Base New London,also_known_as,The_Home_of_the_Submarine_Force,
08ec131c-477f-5b42-beb0-7f72537b7827,hotpot_5ae129115542990adbacf722_Wild Mountain Thyme,hotpotqa,The Braes of Balquhither,is_about,The Braes of Balquhither,
475a8cdc-1751-5fcb-a0f7-34175fb6d609,hotpot_5ac3e0f7554299194317388b_American Beauty (1999 film),hotpotqa,Lester Burnham,has_midlife_crisis_over,Angela,
46790689-4e47-5360-a2eb-86cb2eb96f69,hotpot_5a8753d95542994846c1cd63_Tom Clancy,hotpotqa,Tom Clancy,part_owner_of,Baltimore Orioles,
df456609-9381-58d0-bc8d-fd42bb07edc4,hotpot_5a87c13f5542996e4f30890c_Franco Corelli,hotpotqa,Franco Corelli,appeared_on_the_stages_of,most of the major opera houses in Europe and with opera companies throughout North America,
