run_tag,seed,arm,error_type,seeded_count,transmitted_count,reproduction_per_seed,seeded_share,transmitted_share
baseline,42,baseline,entity_disambiguation,15.0,13.0,0.8666666666666667,0.38461538461538464,0.6190476190476191
baseline,42,baseline,qualifier_loss,15.0,8.0,0.5333333333333333,0.38461538461538464,0.38095238095238093
baseline,42,baseline,relation_strengthening,9.0,0.0,0.0,0.23076923076923078,0.0
ablation_floor,42,ablation_floor,entity_disambiguation,15.0,7.0,0.4666666666666667,0.375,0.5
ablation_floor,42,ablation_floor,qualifier_loss,15.0,6.0,0.4,0.375,0.42857142857142855
ablation_floor,42,ablation_floor,relation_strengthening,10.0,1.0,0.1,0.25,0.07142857142857142
ablation_validation,42,ablation_validation,entity_disambiguation,15.0,21.0,1.4,0.38461538461538464,0.8076923076923077
ablation_validation,42,ablation_validation,qualifier_loss,15.0,3.0,0.2,0.38461538461538464,0.11538461538461539
ablation_validation,42,ablation_validation,relation_strengthening,9.0,2.0,0.2222222222222222,0.23076923076923078,0.07692307692307693
mitigated,42,mitigated,entity_disambiguation,15.0,21.0,1.4,0.38461538461538464,0.6176470588235294
mitigated,42,mitigated,qualifier_loss,15.0,11.0,0.7333333333333333,0.38461538461538464,0.3235294117647059
mitigated,42,mitigated,relation_strengthening,9.0,2.0,0.2222222222222222,0.23076923076923078,0.058823529411764705
baseline_s43,43,baseline,entity_disambiguation,15.0,4.0,0.26666666666666666,0.38461538461538464,0.3333333333333333
baseline_s43,43,baseline,qualifier_loss,15.0,7.0,0.4666666666666667,0.38461538461538464,0.5833333333333334
baseline_s43,43,baseline,relation_strengthening,9.0,1.0,0.1111111111111111,0.23076923076923078,0.08333333333333333
baseline_s44,44,baseline,entity_disambiguation,15.0,12.0,0.8,0.375,0.6
baseline_s44,44,baseline,qualifier_loss,15.0,7.0,0.4666666666666667,0.375,0.35
baseline_s44,44,baseline,relation_strengthening,10.0,1.0,0.1,0.25,0.05
baseline_s45,45,baseline,entity_disambiguation,15.0,9.0,0.6,0.38461538461538464,0.5
baseline_s45,45,baseline,qualifier_loss,15.0,8.0,0.5333333333333333,0.38461538461538464,0.4444444444444444
baseline_s45,45,baseline,relation_strengthening,9.0,1.0,0.1111111111111111,0.23076923076923078,0.05555555555555555
baseline_mean,NA,baseline,entity_disambiguation,15.0,9.5,0.6333333333333333,0.38221153846153844,0.513095238095238
baseline_sd,NA,baseline,entity_disambiguation,0.0,4.041451884327381,0.2694301256218254,0.004807692307692318,0.13072129683108374
baseline_mean,NA,baseline,qualifier_loss,15.0,7.5,0.5,0.38221153846153844,0.4396825396825397
baseline_sd,NA,baseline,qualifier_loss,0.0,0.5773502691896257,0.03849001794597504,0.004807692307692318,0.10352200365436698
baseline_mean,NA,baseline,relation_strengthening,9.25,0.75,0.08055555555555555,0.23557692307692307,0.04722222222222222
baseline_sd,NA,baseline,relation_strengthening,0.5,0.5,0.05395852697901283,0.009615384615384609,0.034694433324435545
