seed,arm,propagated,cum_exposed,probe_contam_rate_step10,detection_auroc,quarantined,quarantine_contam,quarantine_precision,beta,gamma,r0
42,mitigated,34,94,0.7,0.855,67,7,0.1045,0.0703,0.0143,4.92
43,mitigated,6,44,0.7609,0.873,66,2,0.0303,0.011,0.0037,2.9215
44,mitigated,10,67,0.72,0.8425,55,4,0.0727,0.0259,0.0108,2.394
45,mitigated,10,37,0.78,0.8639,50,1,0.0200,0.0237,0.0031,7.5988
42,baseline,21,62,0.6667,0.891,0,0,,,,
43,baseline,12,56,0.7059,0.895,0,0,,,,
44,baseline,20,68,0.6167,0.9047,0,0,,,,
45,baseline,18,75,0.8772,0.9033,0,0,,,,
mean±sd,mitigated,15.00±12.81,60.50±25.75,0.7402±0.0367,0.8586±0.0130,59.5,3.5,0.0569±0.0391,0.0327±0.0259,0.0080±0.0055,4.46±2.36
mean±sd,baseline,17.75±4.03,65.25±8.14,0.7166±0.1131,0.8985±0.0066,0,0,,,,
