step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50783,0,0,15,0,15,0,10,0,40,0,0,0,0,0.12,0.1695,4.6,0.6,1.84,40,33,0,7,0.825,
1,0,10,35,151,0,0,10,0,37,0,25,3,7,50808,0,10,15,0,15,0,10,0,40,0,10,0,0,,,,,,,,,,,
2,5,9,29,117,5,1,9,1,29,1,25,3,5,50830,0,17,15,1,15,0,10,0,41,2,15,0,0,,,,,,,,,,,
3,15,9,32,132,10,1,9,2,32,4,25,2,3,50858,0,21,15,1,15,1,10,0,42,2,19,0,0,,,,,,,,,,,
4,20,8,39,189,5,1,8,1,37,1,25,0,0,50897,0,21,15,1,15,2,10,0,43,2,19,0,0,,,,,,,,,,,
5,32,11,38,175,12,2,11,3,44,3,25,0,0,50935,0,21,15,1,15,4,10,0,45,2,19,0,0,0.12,0.1695,4.68,0.6,1.84,45,32,0,13,0.7111,
6,41,10,34,149,9,2,10,3,39,3,25,2,5,50963,0,27,15,2,15,5,10,0,47,2,25,0,0,,,,,,,,,,,
7,56,8,38,190,15,2,8,3,40,5,25,4,15,50984,0,44,15,4,15,5,10,0,49,4,40,0,0,,,,,,,,,,,
8,61,10,39,182,5,1,10,1,42,1,25,1,10,51012,0,55,15,4,15,5,10,1,50,4,51,0,0,,,,,,,,,,,
9,67,8,24,110,6,0,8,1,30,1,25,0,0,51036,0,55,15,4,15,5,10,1,50,4,51,0,0,,,,,,,,,,,
10,67,6,19,81,0,0,6,0,20,0,25,0,0,51055,0,55,15,4,15,5,10,1,50,4,51,0,0,0.12,0.1695,4.7,0.58,1.92,50,36,0,14,0.72,0.8425
