step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,8,0,38,0,0,0,0,0.1,0.1415,4.6,0.6,1.82,38,32,1,5,0.8421,
1,0,9,39,183,0,0,9,0,41,0,25,0,0,50857,0,0,15,0,15,0,8,0,38,0,0,0,0,,,,,,,,,,,
2,0,9,30,132,0,0,9,0,30,0,25,0,0,50887,0,0,15,0,15,0,8,0,38,0,0,0,0,,,,,,,,,,,
3,0,9,41,195,0,0,9,0,39,0,25,0,0,50928,0,0,15,0,15,0,8,0,38,0,0,0,0,,,,,,,,,,,
4,15,9,41,191,15,3,9,3,38,4,25,3,27,50956,0,13,15,0,15,3,8,0,41,3,10,0,0,,,,,,,,,,,
5,15,12,42,188,0,0,12,0,48,0,25,0,0,50998,0,13,15,0,15,3,8,0,41,3,10,0,0,0.08,0.1215,4.68,0.6,1.82,41,31,1,9,0.7561,
6,20,8,34,156,5,1,8,1,36,1,25,1,5,51026,0,19,15,1,15,3,8,0,42,5,14,0,0,,,,,,,,,,,
7,31,11,38,160,11,4,11,3,40,4,25,2,5,51058,0,25,15,4,15,4,8,0,46,7,18,0,0,,,,,,,,,,,
8,39,10,30,131,8,2,10,2,36,3,25,4,10,51076,0,37,15,5,15,5,8,0,48,13,24,0,0,,,,,,,,,,,
9,44,7,36,180,5,1,7,1,35,1,25,2,10,51101,0,48,15,5,15,6,8,0,49,16,32,0,0,,,,,,,,,,,
10,44,8,32,152,0,0,8,0,35,0,25,0,0,51133,0,48,15,5,15,6,8,0,49,16,32,0,0,0.08,0.1215,4.66,0.6,1.82,49,30,1,18,0.6122,0.8992
