step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.12,0.1789,4.92,0.2727,22,0.54,0.6,1.86,40,34,0,6,0.85,
1,11,9,38,170,11,3,9,3,39,3,25,0,0,50856,0,0,15,2,15,1,10,0,43,0,0,0,0,,,,,,,,,,,,,,
2,16,9,27,111,5,1,9,1,28,1,25,0,0,50883,0,0,15,3,15,1,10,0,44,0,0,0,0,,,,,,,,,,,,,,
3,21,8,32,150,5,1,8,1,34,1,25,0,0,50915,0,0,15,4,15,1,10,0,45,0,0,0,0,,,,,,,,,,,,,,
4,30,9,41,191,9,2,9,2,38,3,25,0,0,50956,0,0,15,5,15,2,10,0,47,0,0,0,0,,,,,,,,,,,,,,
5,38,12,44,196,8,1,12,2,49,2,25,0,0,51000,0,0,15,6,15,2,10,0,48,0,0,0,0,0.1,0.1689,5.08,0.3333,21,0.58,0.6,1.86,48,38,0,10,0.7917,
6,38,8,32,148,0,0,8,0,36,0,25,3,10,51020,0,12,15,6,15,2,10,0,48,0,12,0,0,,,,,,,,,,,,,,
7,40,11,35,145,2,1,11,1,41,1,25,0,0,51055,0,12,15,7,15,2,10,0,49,0,12,0,0,,,,,,,,,,,,,,
8,50,10,30,130,10,2,10,3,37,4,25,1,0,51084,0,13,15,8,15,3,10,0,51,0,13,0,0,,,,,,,,,,,,,,
9,63,7,28,136,13,3,7,3,34,4,25,2,12,51098,0,27,15,11,15,3,10,0,54,0,27,0,0,,,,,,,,,,,,,,
10,63,6,22,102,0,0,6,0,25,0,25,0,0,51120,0,27,15,11,15,3,10,0,54,0,27,0,0,0.1,0.1689,5.14,0.3333,21,0.58,0.6,1.86,54,43,0,11,0.7963,0.8036
