step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.12,0.1789,4.92,0.2727,22,0.54,0.6,1.86,40,34,0,6,0.85,
1,11,9,38,170,11,3,9,3,39,3,25,14,16,50831,0,25,15,2,15,1,10,0,43,4,21,0,0,,,,,,,,,,,,,,
2,16,9,24,92,5,1,9,1,24,1,25,12,17,50829,0,51,15,3,15,1,10,0,44,4,47,0,0,,,,,,,,,,,,,,
3,21,8,32,150,5,1,8,1,34,1,25,12,44,50830,0,82,15,4,15,1,10,0,45,7,75,0,0,,,,,,,,,,,,,,
4,30,9,41,191,9,2,9,2,38,3,25,14,36,50848,0,105,15,5,15,2,10,0,47,10,95,0,0,,,,,,,,,,,,,,
5,37,12,43,193,7,1,12,2,48,2,25,10,39,50863,0,133,15,6,15,2,10,0,48,10,123,0,0,0.1,0.1474,4.84,0.25,20,0.6,0.6,1.86,48,35,0,13,0.7292,
6,37,8,32,148,0,0,8,0,36,0,25,12,15,50873,0,155,15,6,15,2,10,0,48,10,145,0,0,,,,,,,,,,,,,,
7,39,11,35,141,2,1,11,1,39,1,25,12,17,50890,0,173,15,7,15,2,10,0,49,10,163,0,0,,,,,,,,,,,,,,
8,45,9,26,110,6,2,9,2,32,3,25,16,25,50886,0,203,15,9,15,2,10,0,51,13,190,0,0,,,,,,,,,,,,,,
9,54,6,25,115,9,1,6,2,26,2,25,12,29,50877,0,237,15,10,15,2,10,0,52,18,219,0,0,,,,,,,,,,,,,,
10,54,6,22,102,0,0,6,0,25,0,25,11,45,50865,0,271,15,10,15,2,10,0,52,18,253,0,0,0.12,0.156,4.62,0.3,20,0.6,0.6,1.84,52,31,0,21,0.5962,0.9022
