step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.12,0.1789,4.92,0.2727,22,0.54,0.6,1.86,40,34,0,6,0.85,
1,11,9,38,170,11,3,9,3,39,3,25,3,4,50850,0,6,15,2,15,1,10,0,43,3,3,0,0,,,,,,,,,,,,,,
2,16,9,28,116,5,1,9,1,28,1,25,0,0,50878,0,6,15,3,15,1,10,0,44,3,3,0,0,,,,,,,,,,,,,,
3,21,8,32,150,5,1,8,1,34,1,25,1,10,50899,0,17,15,4,15,1,10,0,45,6,11,0,0,,,,,,,,,,,,,,
4,30,9,41,191,9,2,9,2,38,3,25,1,6,50933,0,24,15,5,15,2,10,0,47,8,16,0,0,,,,,,,,,,,,,,
5,33,12,44,198,3,0,12,1,48,2,25,0,0,50977,0,24,15,5,15,2,10,0,47,8,16,0,0,0.1,0.1589,5.04,0.2381,21,0.56,0.6,1.86,47,35,0,12,0.7447,
6,33,8,32,148,0,0,8,0,36,0,25,0,0,51009,0,24,15,5,15,2,10,0,47,8,16,0,0,,,,,,,,,,,,,,
7,35,11,35,141,2,1,11,1,39,1,25,0,0,51044,0,24,15,6,15,2,10,0,48,8,16,0,0,,,,,,,,,,,,,,
8,47,10,32,140,12,2,10,3,37,4,25,2,8,51071,0,29,15,8,15,2,10,0,50,11,18,0,0,,,,,,,,,,,,,,
9,56,7,30,142,9,1,7,2,33,2,25,0,0,51101,0,29,15,9,15,2,10,0,51,11,18,0,0,,,,,,,,,,,,,,
10,56,6,22,102,0,0,6,0,25,0,25,0,0,51123,0,29,15,9,15,2,10,0,51,11,18,0,0,0.1,0.1589,5.04,0.2381,21,0.56,0.6,1.86,51,36,0,15,0.7059,0.8904
