step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,8,0,38,0,0,0,0,0.1,0.1589,4.9,0.2381,21,0.56,0.6,1.82,38,32,0,6,0.8421,
1,3,9,32,136,3,1,9,1,32,1,25,0,0,50850,0,0,15,0,15,1,8,0,39,0,0,0,0,,,,,,,,,,,,,,
2,8,9,30,128,5,1,9,1,31,1,25,2,5,50874,0,6,15,1,15,1,8,0,40,2,4,0,0,,,,,,,,,,,,,,
3,13,9,36,156,5,0,9,1,35,2,25,0,0,50910,0,6,15,1,15,1,8,0,40,2,4,0,0,,,,,,,,,,,,,,
4,13,8,37,179,0,0,8,0,37,0,25,0,0,50947,0,6,15,1,15,1,8,0,40,2,4,0,0,,,,,,,,,,,,,,
5,29,10,40,188,16,4,10,4,43,5,25,2,5,50981,0,12,15,1,15,5,8,0,44,4,8,0,0,0.1,0.1589,4.96,0.2381,21,0.56,0.6,1.84,44,31,0,13,0.7045,
6,44,9,31,136,15,8,9,4,35,5,25,5,2,51006,0,18,15,6,15,8,8,0,52,9,9,0,0,,,,,,,,,,,,,,
7,51,8,38,190,7,1,8,2,40,3,25,1,10,51033,0,29,15,7,15,8,8,0,53,10,19,0,0,,,,,,,,,,,,,,
8,61,10,39,183,10,6,10,2,42,2,25,0,0,51072,0,29,15,12,15,9,8,0,59,10,19,0,0,,,,,,,,,,,,,,
9,66,8,24,106,5,1,8,1,29,1,25,0,0,51096,0,29,15,12,15,10,8,0,60,10,19,0,0,,,,,,,,,,,,,,
10,71,6,24,108,5,1,6,1,22,1,25,0,0,51120,0,29,15,12,15,11,8,0,61,10,19,0,0,0.1,0.1589,4.96,0.2381,21,0.56,0.58,1.92,60,42,0,18,0.7,0.8977
