step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,
1,1,9,35,159,1,1,9,1,35,1,0,0,0,50853,0,0,15,1,15,0,10,0,41,0,0,0,0,
2,15,10,35,156,14,3,10,3,39,3,0,0,0,50888,0,0,15,4,15,0,10,0,44,0,0,0,0,
3,28,8,34,162,13,2,8,3,35,3,0,0,0,50922,0,0,15,5,15,1,10,0,46,0,0,0,0,
4,33,8,29,131,5,1,8,1,30,1,0,0,0,50951,0,0,15,5,15,2,10,0,47,0,0,0,0,
5,48,10,43,195,15,3,10,4,44,4,315,19,48,50937,0,57,15,6,15,4,10,0,50,19,38,0,0,
6,53,8,36,178,5,0,8,1,39,2,0,0,0,50973,0,57,15,6,15,4,10,0,50,19,38,0,0,
7,59,7,29,133,6,1,7,1,29,1,0,0,0,51002,0,57,15,6,15,4,10,1,51,19,38,0,0,
8,65,6,22,98,6,1,6,1,23,1,0,0,0,51024,0,57,15,6,15,5,10,1,52,19,38,0,0,
9,75,8,33,152,10,2,8,2,34,2,0,0,0,51057,0,57,15,7,15,6,10,1,54,19,38,0,0,
10,75,8,29,122,0,0,8,0,29,0,281,10,39,51047,0,96,15,7,15,6,10,1,54,29,67,0,0,0.9221
