interval,seed,r0,beta,gamma,emp_repro,gt_total_final,det_R,cum_exposed,propagated
1,42,0.7852600612394287,0.0282559207430573,0.0359828827897589,0.2894736842105263,49,16,44,11.0
1,43,1.0957155226533155,0.0423691264471197,0.0386679987379583,0.425,57,17,80,17.0
1,44,1.1973769006670372,0.0467400945261791,0.039035406896643,0.4736842105263157,56,14,66,18.0
1,45,0.779567798906313,0.0283986156233913,0.0364286668372307,0.25,50,11,47,10.0
2,42,0.4624631347523311,0.0246433659221507,0.0532872007956879,0.175,47,16,34,7.0
2,43,0.4789567151955985,0.0380740554637819,0.0794937292991771,0.3,52,27,62,12.0
2,44,0.5633229483093639,0.045551358703126,0.0808618907499402,0.3684210526315789,52,27,51,14.0
5,42,0.6761394437989062,0.0330870414037605,0.0489352332676528,0.25,50,19,47,10.0
5,43,0.6524277432329344,0.0436308401026477,0.0668745934782702,0.35,54,29,75,14.0
5,44,0.9809084347239015,0.052810418908215,0.0538382758662684,0.5263157894736842,58,33,59,20.0
10,42,2.404353074688564,0.0342315205351596,0.0142373101918875,0.35,54,23,65,14.0
10,43,2.013496077952257,0.0410635847802875,0.0203941717244612,0.45,58,33,97,18.0
10,44,2.3259970667965666,0.0518144873427363,0.0222762479292791,0.6052631578947368,61,35,71,23.0
