run_tag,seed,arm,N,I0,steps,beta,gamma,r0,effective_reproduction,empirical_reproduction_per_seed,fit_rmse_I,fit_rmse_R,fit_rmse_total
oracle_int2_s42,42,unknown,50818.0,40.0,10,0.024643365922150783,0.053287200795687995,0.46246313475233114,0.024621774537880524,0.175,1.782562433325774,2.489652693055982,2.1651673562042735
oracle_int2_s43,43,unknown,50818.0,40.0,10,0.03807405546378198,0.07949372929917711,0.47895671519559857,0.03803903960391144,0.3,1.62246810228448,1.5049743910743776,1.5648243768423815
oracle_int2_s44,44,unknown,50818.0,38.0,10,0.04555135870312603,0.08086189074994025,0.5633229483093639,0.04551031224350752,0.3684210526315789,2.2198771619517386,4.088460831168429,3.2896326985055144
oracle_int5_s42,42,unknown,50818.0,40.0,10,0.03308704140376052,0.04893523326765284,0.6761394437989062,0.03305689168925968,0.25,4.445013325146678,3.834404105933895,4.150951596220692
oracle_int5_s43,43,unknown,50818.0,40.0,10,0.043630840102647735,0.0668745934782702,0.6524277432329344,0.04358951108398352,0.35,5.353611665466413,5.156767560089572,5.2561111828713365
oracle_int5_s44,44,unknown,50818.0,38.0,10,0.05281041890821502,0.05383827586626848,0.9809084347239017,0.052760544107173575,0.5263157894736842,5.354287113209139,5.513596254366311,5.434525469019337
oracle_int10_s42,42,unknown,50818.0,40.0,10,0.03423152053515965,0.014237310191887544,2.404353074688564,0.03419968110547736,0.35,6.350570244834593,5.920769590995094,6.1394321799426494
oracle_int10_s43,43,unknown,50818.0,40.0,10,0.04106358478028752,0.020394171724461237,2.013496077952257,0.041024204444508425,0.45,8.543547248605634,8.492770130141745,8.51819652486912
oracle_int10_s44,44,unknown,50818.0,38.0,10,0.05181448734273639,0.022276247929279146,2.3259970667965666,0.05176477122958774,0.6052631578947368,9.281529983422095,8.975562391278517,9.12982801242435
oracle,42,unknown,50818.0,38.0,10,0.028255920743057335,0.035982882789758995,0.7852600612394287,0.02823187753048009,0.2894736842105263,1.517444559069591,2.8648617073418987,2.2923863758149325
oracle_s43,43,unknown,50818.0,40.0,10,0.04236912644711972,0.0386679987379583,1.0957155226533155,0.042328639855681534,0.425,1.0261566086009757,1.1466647228482694,1.0880802755312116
oracle_s44,44,unknown,50818.0,38.0,10,0.04674009452617918,0.03903540689664308,1.1973769006670372,0.04669679224183573,0.47368421052631576,0.7213812212182564,2.392067496313633,1.7666886784669384
oracle_s45,45,unknown,50818.0,40.0,10,0.028398615623391334,0.0364286668372307,0.779567798906313,0.028373166535668546,0.25,1.2349432431297005,1.9128796903355796,1.6099989943242272
