level,precision_pct,false_alarm_rate,seed,final_cum_exposed,final_probe_contam_rate,final_det_R_clean,final_gt_total,final_det_R_contam,contam_frac_final,contam_frac_traj_mean,contam_frac_pooled,total_facts_served,total_contam_facts_served
p10 (FA=0.4538),10,0.4538,42,54.0,0.5962,253.0,52.0,18.0,0.0,0.04649296459474478,0.0469208211143695,341,16
p10 (FA=0.4538),10,0.4538,43,92.0,0.5,221.0,60.0,22.0,0.037037037037037035,0.0750918596560007,0.07407407407407407,324,24
p10 (FA=0.4538),10,0.4538,44,65.0,0.6429,241.0,56.0,15.0,0.05,0.05943040648243244,0.06060606060606061,330,20
p10 (FA=0.4538),10,0.4538,45,56.0,0.6923,248.0,52.0,12.0,0.03125,0.04817181423388324,0.04513888888888889,288,13
p25 (FA=0.1513),25,0.1513,42,54.0,0.5962,136.0,52.0,16.0,0.0,0.04753256343676297,0.049132947976878616,346,17
p50 (FA=0.0504),50,0.0504,42,50.0,0.5769,67.0,52.0,17.0,0.0,0.04425665923343942,0.045584045584045586,351,16
p50 (FA=0.0504),50,0.0504,43,85.0,0.4483,81.0,58.0,21.0,0.037037037037037035,0.06704864455365012,0.06646525679758308,331,22
p50 (FA=0.0504),50,0.0504,44,66.0,0.6429,55.0,56.0,15.0,0.045454545454545456,0.056103775918432186,0.05813953488372093,344,20
p50 (FA=0.0504),50,0.0504,45,47.0,0.64,66.0,50.0,12.0,0.022727272727272728,0.038736592197854754,0.03559870550161812,309,11
p75 (FA=0.0168),75,0.0168,42,50.0,0.5686,48.0,51.0,17.0,0.0,0.043981933958714144,0.0453257790368272,353,16
p75 (FA=0.0168),75,0.0168,43,80.0,0.5088,43.0,57.0,17.0,0.034482758620689655,0.061868579696165896,0.061764705882352944,340,21
p75 (FA=0.0168),75,0.0168,44,66.0,0.6607,23.0,56.0,14.0,0.045454545454545456,0.055853396216832975,0.057803468208092484,346,20
p75 (FA=0.0168),75,0.0168,45,47.0,0.64,44.0,50.0,12.0,0.023255813953488372,0.03866629361111671,0.03559870550161812,309,11
"p100 (FA=0.0, perfect oracle anchor)",100,0.0,42,44.0,0.6122,32.0,49.0,16.0,0.0,0.034494569757727654,0.03439153439153439,378,13
"p100 (FA=0.0, perfect oracle anchor)",100,0.0,43,80.0,0.4912,35.0,57.0,17.0,0.034482758620689655,0.061868579696165896,0.061764705882352944,340,21
"p100 (FA=0.0, perfect oracle anchor)",100,0.0,44,66.0,0.6607,19.0,56.0,14.0,0.045454545454545456,0.055853396216832975,0.057803468208092484,346,20
"p100 (FA=0.0, perfect oracle anchor)",100,0.0,45,47.0,0.64,25.0,50.0,11.0,0.023255813953488372,0.03866629361111671,0.03559870550161812,309,11
