step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,
1,11,9,38,170,11,3,9,3,39,3,25,0,0,50856,0,0,15,2,15,1,10,0,43,0,0,0,0,
2,16,9,26,106,5,1,9,1,28,1,25,0,0,50882,0,0,15,3,15,1,10,0,44,0,0,0,0,
3,21,8,32,150,5,1,8,1,34,1,25,1,34,50899,0,15,15,4,15,1,10,0,45,0,15,0,0,
4,30,9,41,191,9,2,9,2,38,3,25,1,0,50939,0,16,15,5,15,2,10,0,47,0,16,0,0,
5,38,12,44,196,8,2,12,2,49,3,25,4,13,50975,0,24,15,7,15,2,10,0,49,0,24,0,0,
6,38,8,32,148,0,0,8,0,36,0,25,0,0,51007,0,24,15,7,15,2,10,0,49,0,24,0,0,
7,40,11,36,152,2,1,11,1,42,1,25,1,4,51038,0,29,15,8,15,2,10,0,50,0,29,0,0,
8,46,10,29,125,6,1,10,2,37,3,25,1,0,51066,0,30,15,9,15,2,10,0,51,0,30,0,0,
9,58,7,26,126,12,2,7,3,34,3,25,1,12,51079,0,43,15,11,15,2,10,0,53,0,43,0,0,
10,58,6,22,102,0,0,6,0,25,0,25,0,0,51101,0,43,15,11,15,2,10,0,53,0,43,0,0,0.9013
