triplet_id,is_contam,error_type,subject,predicate,object,n_evidence,verdict,confidence,caught
2352e0ee-af8a-56a2-8a86-d85da8a79cf9,1,qualifier_loss,Greg Monroe,born_on,June 4,4,UNSUPPORTED,0.95,1
2794ae47-2fa1-5a1e-a3c1-054c8ba9afb9,1,entity_disambiguation,Fastjet Tanzania,based_in,"New Orleans, Louisiana",4,UNSUPPORTED,0.95,1
7e71b087-ced4-5c37-a2f1-bd67f1cfc992,1,entity_disambiguation,Valens Aqueduct,landmark_of,National Basketball Association,4,UNSUPPORTED,0.95,1
542871df-f616-5316-a84c-1bd1a90c88b0,1,entity_disambiguation,Berger Blanc Suisse,is_also_known_as,Pastore Svizzero Bianco,4,UNCERTAIN,0.45,0
0fa434a5-c8ff-52e1-ba3a-8af0f6e4a07a,1,qualifier_loss,Wild Mountain Thyme,also_known_as,"Will Ye Go, Lassie",9,UNSUPPORTED,0.15,1
9f6de1c5-3bb8-5c55-aee6-29d4c1402719,1,entity_disambiguation,Norwegians,share_common,Battle of Britain,3,UNSUPPORTED,0.05,1
80305452-dab2-52dc-8b51-ac5b4574769e,1,qualifier_loss,Benedict Arnold,born_on,January 14,4,UNCERTAIN,0.15,1
185ff6fd-ef0e-591d-8d0f-348de0f8ce7e,1,qualifier_loss,Isabella Kelly,died_on,1857,4,UNSUPPORTED,0.15,1
c07104fb-bf25-51d0-bc62-c7e8395203b6,1,entity_disambiguation,Fly540,based_in,Dar es Salaam,5,UNCERTAIN,0.45,0
91d2db9e-bd8f-5dfb-9406-41cf5d7109da,1,entity_disambiguation,Naval Submarine Base New London,located_in,Baraki Barak District,9,SUPPORTED,0.95,0
4e3d4a0e-0261-56f3-b5d3-9b132cfac553,1,propagated_qualifier_loss,Benedict Arnold,born_on,January 14,4,UNSUPPORTED,0.05,1
32873731-4126-5202-903f-ec2c6b9de2e5,1,qualifier_loss,Franco Corelli,had_a_long_and_fruitful_partnership,with the Metropolitan Opera in New York City,4,UNCERTAIN,0.55,0
trex_23899,1,relation_strengthening,Oussama Assaidi,leader of sports team,Liverpool,9,UNSUPPORTED,0.15,1
trex_47059,1,relation_strengthening,Ivan Ivanovich Zhegalkin,graduated top of class at,Moscow State University,9,UNSUPPORTED,0.05,1
243bf703-f46c-5db8-a59b-fc9dc6b856d3,1,qualifier_loss,2015–16 Iona Gaels men's basketball team,members_of,Metro Atlantic Athletic Conference,7,SUPPORTED,0.95,0
9aac914b-b951-5e12-a5a9-6a589c97f3f8,1,qualifier_loss,John André,born_on,1750,4,UNCERTAIN,0.35,1
60ed86a4-0d69-5ae8-8d55-bc75ad1c3753,1,propagated_qualifier_loss,Franco Corelli,had_a_long_and_fruitful_partnership,with the Metropolitan Opera in New York City,4,SUPPORTED,0.95,0
1a5ddc3a-6ab4-503b-9d8f-bad05048371c,1,qualifier_loss,Sierra Academy of Aeronautics,headquartered_in,Atwater,4,SUPPORTED,0.85,0
130538d6-633c-50b0-a79e-91535f365ffa,1,entity_disambiguation,Valens Aqueduct,used_by,Royal Air Force,4,UNSUPPORTED,0.05,1
trex_20117,1,relation_strengthening,John Aldridge,leader of sports team,Liverpool,9,UNSUPPORTED,0.15,1
adc9ccc9-6522-599a-8eaf-18c33370a9f9,1,qualifier_loss,Tom Clancy,born_on,April 12,4,UNSUPPORTED,0.95,1
47d30f71-e2d5-5357-ae0a-f40d1f5baa6b,1,qualifier_loss,The Many Adventures of Winnie the Pooh,first_released_on,March 11,4,UNSUPPORTED,0.05,1
5cf8d4d6-c222-5da9-8642-d06ff33ac94f,1,qualifier_loss,New York State Route 9R,has_remained,largely unchanged,9,UNSUPPORTED,0.15,1
d952b24d-32c3-5a38-bd0f-64725acfe554,1,qualifier_loss,Halina Reijn,born_on,1975,4,UNSUPPORTED,0.05,1
0473da51-5eb4-58a6-968a-b2627d09451e,1,qualifier_loss,Stone Brewing Co.,headquartered_in,"Escondido, California",1,UNCERTAIN,0.2,1
87b7c605-edb9-5d66-a123-7e210e85a5b6,1,qualifier_loss,Nusretiye Mosque,located_in,"Tophane, Beyoğlu, Istanbul",4,UNCERTAIN,0.45,0
91490029-f63d-5771-bedf-5cc167da5264,1,propagated_qualifier_loss,Sierra Academy of Aeronautics,headquartered_in,Atwater,4,SUPPORTED,0.95,0
627e1959-e661-519c-abc8-ceaa7b054b95,1,entity_disambiguation,Sergei Aleksandrovich Tokarev,born_in,"March 18, 1932",9,UNSUPPORTED,0.15,1
trex_45864,1,relation_strengthening,Robin and the 7 Hoods,lead actor,Bing Crosby,7,UNSUPPORTED,0.05,1
5381011b-d0f5-537c-b0d6-79f7becb72dd,1,qualifier_loss,Franco Corelli,celebrated_universally_for,"his powerhouse voice, electrifying top notes, clear timbre",9,UNCERTAIN,0.55,0
029f50e8-0e66-53c7-b054-64e6f5fd8826,1,entity_disambiguation,12 Years a Slave (score),composed_by,Shane MacGowan,3,UNSUPPORTED,0.95,1
1f9500a0-3b1b-507d-9129-e14e02259a57,1,qualifier_loss,Blues Traveler,formed_in,Princeton,9,UNSUPPORTED,0.15,1
202f08fa-1aaa-5e43-9757-868a88bbcc84,1,entity_disambiguation,Greg Monroe,named,Iowa State University,4,UNSUPPORTED,0.95,1
62e03a39-42fa-5787-a4dc-cad488d19e52,1,entity_disambiguation,2015–16 Iowa State Cyclones men's basketball team,competes_in,Making Mr. Right,3,UNSUPPORTED,0.05,1
3b546877-8b85-5bf2-936c-2468eb301947,1,entity_disambiguation,Atik Valide Mosque,located_on,Cairn na Burgh Mòr and Cairn na Burgh Beag,4,SUPPORTED,0.95,0
2a2e9cdb-6944-5489-8fa6-576153d142de,1,entity_disambiguation,Jewell,worked_with,Will Ye Go Lassie Go,1,UNSUPPORTED,0.95,1
05dd55e9-88f9-5096-8207-b8cb47abb391,1,entity_disambiguation,Beer Wars,covers,independent_electronic_music,4,SUPPORTED,0.85,0
c582e4ee-759d-52fc-9a97-10cd2480b7a6,1,qualifier_loss,Sierra Academy of Aeronautics,operates_training_facility_at,former Castle Air Force Base in Atwater,8,SUPPORTED,0.99,0
79754495-597e-520c-84c2-458e4bf3c084,1,entity_disambiguation,Bing Crosby,died_on,15 January 1880,4,UNSUPPORTED,0.95,1
9c137e1c-2602-5437-9471-060e87df3534,1,qualifier_loss,A Pair of Brown Eyes,released_on,1985,4,UNCERTAIN,0.35,1
a078e543-bff6-5ac8-b955-589f01c44618,1,propagated_entity_disambiguation,Atik Valide Mosque,located_on,Cairn na Burgh Mòr and Cairn na Burgh Beag,4,SUPPORTED,0.95,0
139172da-d1f0-566a-b51e-a27b465446a0,1,propagated_qualifier_loss,Blues Traveler,formed_in,Princeton,4,SUPPORTED,0.95,0
107e9dab-fb3d-55cd-8139-20602aeccfcc,1,entity_disambiguation,Apratim Majumdar,style_origin,1977,4,UNSUPPORTED,0.95,1
ea711597-7059-5e52-bca1-554feb9a86f4,1,entity_disambiguation,Brad Wilk,was_guitarist_for,True,0,UNSUPPORTED,0.05,1
1a754884-2dd4-5de3-8227-1a7887db7c31,1,entity_disambiguation,Ethel Houbiers,voice_of,Salma Hayek,4,UNSUPPORTED,0.05,1
db76de19-3407-552d-8192-60dabb8757b2,1,entity_disambiguation,Norwegians,share_common,Islamic,2,UNSUPPORTED,0.05,1
a8f0b6a2-5a78-5684-95c1-10ef95d33a5e,1,entity_disambiguation,Salma Hayek,came_to_prominence,Wild Wild West,9,SUPPORTED,0.99,0
9822fa4c-dad4-56f0-ba62-22c05402e876,1,qualifier_loss,Moscow State University,located_in,Moscow,4,UNCERTAIN,0.5,0
66eba1ce-acce-52f7-8c71-3d88193d22df,1,qualifier_loss,Mike Gundy,became_on,January 3,4,UNSUPPORTED,0.05,1
774c536d-6381-54c7-af10-1511825b3a53,1,qualifier_loss,John André,died_on,1780,4,UNCERTAIN,0.6,0
24cb0e39-cd3e-5b76-b0ba-5c461720ab97,1,entity_disambiguation,Baraki Barak District,borders,Wardak Province,4,UNSUPPORTED,0.15,1
1b6908e1-1ef8-549e-8656-32cdfc891666,1,propagated_qualifier_loss,Mike Gundy,became_on,January 3,4,UNSUPPORTED,0.05,1
26dc7e7a-98c2-5901-867b-0e80252bc3ae,1,qualifier_loss,Sierra Academy of Aeronautics,headquartered_in,Atwater,2,SUPPORTED,0.85,0
dc8affb4-adc3-5bfd-b03e-073ddc5cf5c2,1,entity_disambiguation,On Tour Forever,released_by,State_Capitol_in_Tallahassee,4,UNSUPPORTED,0.95,1
cb6ff309-a622-53b4-94c7-a34e7a9ab0e2,1,entity_disambiguation,Experimental hip hop,also_known_as,London Gatwick,4,UNSUPPORTED,0.95,1
32256cc6-62a9-57b1-9faa-001cc12849fd,1,entity_disambiguation,Laurie Metcalf,appeared_in_film,Mistress,4,UNSUPPORTED,0.05,1
da48ee6e-4483-5a36-897a-f98d016e4283,1,qualifier_loss,New Orleans Pelicans,based_in,New Orleans,3,UNCERTAIN,0.55,0
48c77285-3955-536c-9721-a118c04052f0,1,entity_disambiguation,Mike Gundy,received_national_media_attention_in,White Swiss Shepherd,4,UNSUPPORTED,0.95,1
0fd41b7e-dff0-59ec-8b70-eb4a754c007d,1,qualifier_loss,A Pair of Brown Eyes,released_on,1985,4,UNCERTAIN,0.35,1
3837ef66-8067-5f66-8921-20bb76d1a761,1,qualifier_loss,Stuart Roosa,born_on,August 16,4,UNSUPPORTED,0.95,1
5e764a57-b096-5035-be65-1abe1d9b918a,1,entity_disambiguation,Tom Clancy,born_on,10 November 1975,4,UNSUPPORTED,0.95,1
81748f67-8159-5762-87da-cc05db33d3b9,1,propagated_entity_disambiguation,Experimental hip hop,also_known_as,London Gatwick,4,UNSUPPORTED,0.95,1
4b59b723-2329-5a48-8ad1-1f6cd0b8adc9,1,qualifier_loss,Isabella Kelly,died_on,1857,4,UNCERTAIN,0.35,1
4d165cb1-e681-5a6e-86f1-712849452a68,1,qualifier_loss,Bing Crosby,born_in,May 3,4,UNSUPPORTED,0.05,1
321a0351-2585-5cc7-a5d8-6ea022fe615e,1,qualifier_loss,Jalen Jones,born_on,May 27,4,UNSUPPORTED,0.05,1
01e4af54-4c41-51ca-b157-170be30eb426,1,propagated_qualifier_loss,A Pair of Brown Eyes,released_on,1985,4,SUPPORTED,0.99,0
1a784e2f-2020-5d2d-b91e-2c04fc15b572,1,propagated_entity_disambiguation,Arizona,adjacent_to,Utah,9,SUPPORTED,0.95,0
512df5a9-5145-5b52-8758-d90619d0857d,1,propagated_qualifier_loss,Jalen Jones,born_on,May 27,4,SUPPORTED,1.0,0
eef32e9d-a20e-5a9e-9672-6f19fb488269,1,qualifier_loss,Greg Monroe,born_on,June 4,4,UNSUPPORTED,0.95,1
0ffc96be-f421-5c7a-93b2-fedfdb8c11f6,1,propagated_entity_disambiguation,Salma Hayek,born_in,Mexico,4,UNCERTAIN,0.45,0
0d409b71-d862-5e1a-bf72-a3b1c4a7976e,1,propagated_qualifier_loss,Jalen Jones,born_on,May 27,4,SUPPORTED,0.95,0
10273717-704d-5dab-a0fd-738ca0c53522,1,entity_disambiguation,New York State Route 9R,is_a,film,4,UNSUPPORTED,0.95,1
68506214-7a97-5c3e-bfbc-5ee5c30e0f49,1,qualifier_loss,Benedict Arnold,born_on,January 14,4,UNSUPPORTED,0.05,1
9c8bb49f-7c7c-5deb-94b7-fb7f9fa9aa38,1,entity_disambiguation,Moscow State University,renamed_to,Making Mr. Right,4,UNSUPPORTED,0.95,1
10e285e9-3ad1-5686-b41c-60ee80cd5374,1,entity_disambiguation,Sierra Academy of Aeronautics,contracted_by,stringed_instrument,2,UNSUPPORTED,0.95,1
76f9e6d1-697c-568f-b713-4fbf892d605c,1,entity_disambiguation,Berger Blanc Suisse,is_also_known_as,Pastore Svizzero Bianco,4,SUPPORTED,1.0,0
7164f479-529f-5092-ae00-f68de92274a6,1,entity_disambiguation,Calibanus,formerly_included_in,American beer industry,9,UNSUPPORTED,0.95,1
ded4d407-8fe6-5a05-89c5-5fc08f884756,1,entity_disambiguation,Halsey,signed,film actress,3,UNCERTAIN,0.55,0
06ecbd52-550a-54a1-9477-9453b89f8416,1,entity_disambiguation,Hawker Hurricane,predominantly_built_by,Halina Reijn,9,SUPPORTED,0.95,0
7b01872b-0956-5c21-b3b7-23819a0f49de,1,entity_disambiguation,Valens Aqueduct,maintained_by,Pastore Svizzero Bianco,4,UNSUPPORTED,0.95,1
7b8db669-8e3a-59fa-9c5e-5c810e125e4c,1,entity_disambiguation,Berger Blanc Suisse,has_same_origins_as,German Shepherd Dog,6,SUPPORTED,0.98,0
f1f4e65c-45fd-552f-acea-182b8e089979,1,entity_disambiguation,Wild Mountain Thyme,collected_by,"August 12, 1967",9,UNSUPPORTED,0.05,1
816dd2b8-e327-5715-878b-34a58e988899,1,entity_disambiguation,Benedict Arnold,planned_to_surrender,professional basketball player,9,UNSUPPORTED,0.01,1
7e6f4fe4-a533-551f-937d-0f89875157a5,1,entity_disambiguation,Salma Hayek,nationality,Indian,9,UNSUPPORTED,0.95,1
3c6f19bd-707a-58e2-9d85-01505be3fd1e,1,qualifier_loss,Torstein Ellingsen,born_on,1966,9,UNCERTAIN,0.65,0
19ada7d5-1102-59d8-a8b8-e470d07db483,1,qualifier_loss,Isabella Kelly,baptised_on,1759,7,UNCERTAIN,0.55,0
3b9e9ca3-82a6-5a45-bdc1-4bcd1fc21e61,1,propagated_entity_disambiguation,Salma Hayek,came_to_prominence,Wild Wild West,9,SUPPORTED,0.95,0
337d3196-b31d-5f4c-8bd8-445493de2f1f,1,propagated_entity_disambiguation,Wild Mountain Thyme,collected_on,"August 12, 1967",9,UNSUPPORTED,0.05,1
ef1264d5-1a43-5584-ae16-7aa44d07c4a9,1,propagated_qualifier_loss,Torstein Ellingsen,born_in,1966,7,UNCERTAIN,0.65,0
d6a24869-71b2-5b7e-9a5e-0a036b888fef,1,entity_disambiguation,Cairnburgh Castle,located_on,hill,3,UNCERTAIN,0.35,1
b9894d67-41db-5ab7-b102-28f9ba6c5625,1,qualifier_loss,Franco Corelli,died_on,2003,9,UNSUPPORTED,0.05,1
trex_32550,1,relation_strengthening,Joe Cole,leader of sports team,Liverpool,9,UNSUPPORTED,0.05,1
trex_34908,1,relation_strengthening,Ian Callaghan,leader of sports team,Liverpool,9,UNSUPPORTED,0.05,1
trex_39255,1,relation_strengthening,Hugh McQueen,leader of sports team,Liverpool,9,UNSUPPORTED,0.05,1
